Metric,Value
MSE,0.9299312140133598
RMSE,0.9643294115671054
Avg Corr,0.330404276040065
Corr Channel 1,0.3396833986709774
Corr Channel 2,0.30590782779010955
Corr Channel 3,0.36067612311435376
Corr Channel 4,0.33177868455906045
Corr Channel 5,0.31397534606582356
