Metric,Value
MSE,1.0300499490534711
RMSE,1.014913764343292
Avg Corr,0.1570843846534184
Corr Channel 1,0.1202257475551417
Corr Channel 2,0.1785454488015331
Corr Channel 3,0.20829851296666638
Corr Channel 4,0.14023668025834035
Corr Channel 5,0.1381155336854104
