Metric,Value
MSE,0.6932308325590373
RMSE,0.8326048477873746
Avg Corr,0.5798069332517535
Corr Channel 1,0.5521401125432409
Corr Channel 2,0.5243129972236481
Corr Channel 3,0.6590226358392511
Corr Channel 4,0.5212449235385417
Corr Channel 5,0.6423139971140862
