Patient,Lag,Model,MSE,RMSE,Avg Corr
sub1,42,CatBoost,0.833025705467405,0.9127024189008184,0.4847450761764575
sub1,42,Ridge Regression,0.9621886019264514,0.9809121275254228,0.17227649524959018
sub1,44,XGBoost,0.6396281603359595,0.7997675664441259,0.6707447219770459
sub1,44,Hist Gradient Boosting,0.7158884070064232,0.8461018892582756,0.6087428749122291
sub1,44,LightGBM,0.7369215459769205,0.8584413468472499,0.5798926132355222
sub1,44,CatBoost,0.8310232830873708,0.9116047844802981,0.48444923050834915
sub1,44,Ridge Regression,0.9599000913735564,0.9797449113792612,0.17121686080347837
sub1,46,XGBoost,0.6360436428776127,0.7975234434658411,0.6744185358443522
sub1,46,Hist Gradient Boosting,0.7171230964080045,0.8468312089241896,0.6079470615362844
sub1,46,LightGBM,0.7390993309479957,0.8597088640627103,0.5788680808895889
sub1,46,CatBoost,0.832713130157052,0.9125311666770906,0.4852887446451116
sub1,46,Ridge Regression,0.9625428590082802,0.9810926862474718,0.17167809920307797
sub1,48,XGBoost,0.6370389768317302,0.7981472150121994,0.6744244913755434
sub1,48,Hist Gradient Boosting,0.7171433025499677,0.8468431392825756,0.6079089516298228
sub1,48,LightGBM,0.7384960409036271,0.8593579236288144,0.5815477881667253
sub1,48,CatBoost,0.8340210313502855,0.9132475192138687,0.48462993997725434
sub1,48,Ridge Regression,0.9636893400820504,0.9816768002158605,0.1714680970106794
sub1,50,XGBoost,0.6361782468474593,0.7976078277245399,0.6727462833392488
sub1,50,Hist Gradient Boosting,0.7157430880350256,0.8460160093254888,0.605580829617135
sub1,50,LightGBM,0.7356018165671292,0.8576723247063118,0.5805269349484504
sub1,50,CatBoost,0.8309225507527106,0.9115495328026396,0.48370678339961237
sub1,50,Ridge Regression,0.9594527549672897,0.979516592492077,0.17182831594876094
sub2,30,XGBoost,0.42493081795350235,0.6518671781532664,0.7980381696582631
sub2,30,Hist Gradient Boosting,0.4905240953454303,0.7003742537711036,0.7680730371354363
sub2,30,LightGBM,0.5444132823055431,0.7378436706413786,0.7252129700475505
sub2,30,CatBoost,0.6773319555379844,0.8230017955861241,0.6390868686844281
sub2,30,Ridge Regression,0.9651849625583806,0.9824382741721642,0.20519365460562797
sub2,32,XGBoost,0.42062021091063306,0.6485523964265594,0.8020317724354993
sub2,32,Hist Gradient Boosting,0.4887673245829764,0.6991189631121276,0.7703635841889553
sub2,32,LightGBM,0.5431411310784965,0.7369810927550967,0.726912309832952
sub2,32,CatBoost,0.6758833783085804,0.8221212673982959,0.6413287167516352
sub2,32,Ridge Regression,0.966097780124992,0.9829027317720671,0.20676590483737778
sub2,34,XGBoost,0.4259339351116941,0.6526361429707169,0.7972210142038068
sub2,34,Hist Gradient Boosting,0.4936649635593125,0.7026129543065033,0.7650486536227248
sub2,34,LightGBM,0.5429674260791104,0.7368632343108933,0.7271178862460177
sub2,34,CatBoost,0.6798763390377542,0.8245461412424135,0.6379533223402667
sub2,34,Ridge Regression,0.9677073522181819,0.9837211760545678,0.20843572358098786
sub2,36,XGBoost,0.4227797279386574,0.6502151397335019,0.7999930225272153
