Model,MSE,RMSE,Avg Corr
Ridge Regression,0.9585176367193032,0.9790361532805963,0.1723457963291284
Random Forest,0.9616990024245817,0.9806596494675854,0.1658554998554612
Hist Gradient Boosting,0.8028616043093659,0.8960232669066667,0.5170451849656551
