Model,MSE,RMSE,Avg Corr
Ridge Regression,0.9585968271745452,0.9790783590718536,0.17214274581572842
Hist Gradient Boosting,0.7170643379258506,0.8467941378607514,0.6026193398982479
XGBoost,0.6403692931761348,0.8002282100796244,0.6684395363797515
LightGBM,0.73639570878407,0.858132785996185,0.5787946727376678
CatBoost,0.8333004990804008,0.9128515259716536,0.4810499643828569
