Model,MSE,RMSE,Avg Corr
Ridge Regression,0.9647896545043105,0.9822370663461599,0.17271972040680303
Hist Gradient Boosting,0.7196194716232884,0.8483038792928442,0.607205801576854
XGBoost,0.6419017436213148,0.80118770810673,0.6713600920909586
LightGBM,0.7407713960596982,0.8606807747705871,0.5805362765842819
CatBoost,0.8383607668131363,0.9156204272585536,0.48220106233893806
